iter	TotalF1	MultiClass
432	0.8784992399	0.3538969423
433	0.8784048574	0.3537362809
434	0.8782427406	0.3535534022
435	0.8786662226	0.3532874712
436	0.8790058359	0.3529038297
437	0.8793084173	0.352676886
438	0.8795724223	0.3524858876
439	0.8799791112	0.3522178621
440	0.8799192862	0.3519562392
441	0.8803696285	0.3515423177
442	0.8808971002	0.3513181448
443	0.8808973054	0.351053592
444	0.8808404017	0.3507926476
445	0.880987086	0.3504876183
446	0.8811653525	0.3502690295
447	0.8811653525	0.3500446319
448	0.8812695476	0.3496090319
449	0.881786234	0.3492486714
450	0.8815758186	0.348996514
451	0.8813873595	0.3487333453
452	0.8815838737	0.3484388543
453	0.8820705247	0.34812402
454	0.8822001876	0.3477960848
455	0.8826108374	0.3474929548
456	0.8824229719	0.3470852049
457	0.882576391	0.3466724908
458	0.8825142185	0.3464156778
459	0.882657643	0.3461363687
460	0.8827757315	0.3459230741
461	0.883022455	0.3455970865
462	0.8829701689	0.3454509469
463	0.8825863839	0.3450720834
464	0.8828341258	0.3448222617
465	0.8830566619	0.344610976
466	0.8830566619	0.3443537269
467	0.8829944002	0.3440338094
468	0.8837719764	0.3436584708
469	0.8840364266	0.3433532132
470	0.8841724643	0.3432250344
471	0.8842586728	0.3428579608
472	0.8838999427	0.3426204013
473	0.8844883314	0.3424216203
474	0.8848986469	0.3420523193
475	0.8847256848	0.3416518884
476	0.8851304632	0.3414386666
477	0.8850958399	0.3412673845
478	0.8854684263	0.3408874144
479	0.8856129043	0.3404183636
480	0.8858821756	0.3401097766
481	0.8858301792	0.3399154454
482	0.8857361959	0.3397411579
483	0.8860650772	0.3394589943
484	0.8860045736	0.3390113619
485	0.8858558896	0.3387961403
486	0.8858860718	0.3383810906
487	0.8860044707	0.338114862
488	0.8860577916	0.3377150164
489	0.8861490911	0.3374159718
490	0.8868056008	0.3369648926
491	0.8868476572	0.3366410813
492	0.8866254669	0.3363316714
493	0.8866498431	0.3361041554
494	0.8866842253	0.3359467213
495	0.8867086183	0.3357063906
496	0.8867583614	0.3351673249
497	0.8869401421	0.3349625033
498	0.8874786903	0.3348122246
499	0.8875305407	0.3346515489
98
2
